City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lazaro cardenas,17.9583,-102.2,30.89,62,83,5.42,MX,1687636377
84,ginir,7.1333,40.7,14.82,83,80,2.36,ET,1687636377
85,saldanha,-33.0117,17.9442,13.03,93,4,5.67,ZA,1687636378
86,salinopolis,-0.6136,-47.3561,27.17,82,43,4.86,BR,1687636378
87,lebu,-37.6167,-73.65,12.78,92,100,2.11,CL,1687636378
88,port mathurin,-19.6833,63.4167,22.85,65,25,5.07,MU,1687636378
89,papatowai,-46.5619,169.4708,8.96,86,100,1.28,NZ,1687636378
90,constantia,44.1833,28.65,22.61,74,0,5.45,RO,1687636379
91,harqalah,36.0303,10.509,25.92,69,0,5.14,TN,1687636379
92,remire-montjoly,4.9167,-52.2667,29.02,79,75,3.6,GF,1687636379
93,vila franca do campo,37.7167,-25.4333,21.23,82,100,1.96,PT,1687636379
94,santa marta,11.2408,-74.199,32.03,66,40,5.14,CO,1687636379
95,hithadhoo,-0.6,73.0833,27.81,76,100,5.04,MV,1687636379
96,selfoss,63.9331,-20.9971,13.36,98,100,5.15,IS,1687636380
97,robertsport,6.7533,-11.3686,25.91,85,100,4.53,LR,1687636380
98,iqaluit,63.7506,-68.5145,5.85,81,100,1.03,CA,1687636380
99,blackmans bay,-43.0167,147.3167,5.41,93,66,2.76,AU,1687636380
100,guanica,17.9716,-66.908,30.85,76,31,5.15,PR,1687636380
101,souillac,-20.5167,57.5167,20.21,94,75,0.0,MU,1687636380
102,port alfred,-33.5906,26.891,12.88,90,75,1.34,ZA,1687636381
103,raja,8.4596,25.678,21.13,96,72,1.98,SS,1687636381
104,hawaiian paradise park,19.5933,-154.9731,26.52,77,75,4.12,US,1687636381
105,acajutla,13.5928,-89.8275,29.49,69,100,2.17,SV,1687636381
106,tromso,69.6496,18.957,11.01,93,100,1.03,NO,1687636381
107,castillos,-34.1667,-53.8333,17.65,82,100,1.95,UY,1687636381
108,awjilah,29.1081,21.2869,27.81,38,0,6.26,LY,1687636382
109,ushuaia,-54.8,-68.3,1.81,69,40,0.0,AR,1687636132
110,hadibu,12.65,54.0333,26.56,76,21,8.43,YE,1687636382
111,west island,-12.1568,96.8225,25.99,78,40,3.09,CC,1687636382
112,janakpur,26.7183,85.9065,30.53,66,100,4.54,NP,1687636382
113,vorotynets,56.0603,45.8633,9.09,94,43,0.46,RU,1687636382
114,luderitz,-26.6481,15.1594,13.81,88,0,3.83,NA,1687636382
115,sittwe,20.15,92.9,26.27,91,100,3.81,MM,1687636383
116,makoua,0.0069,15.6333,24.38,84,100,1.2,CG,1687636383
117,east london,-33.0153,27.9116,15.76,78,0,3.45,ZA,1687636383
